chromatin_remodeler,synonyms
BPTF,"NEDDFL, FAC1, NURF301, FALZ"
BICRAL,
SIRT7,SIR2L7
CDK9,"CTK1, C-2K, PITALRE, CDC2L4, TAK"
RB1,"OSRC, P105-RB, PPP1R130, PRB, PP110, RB"
YEATS2,
CFDP1,"SWC5, CENP-29, YETI, BCNT, BUCENTAUR"
MTHFR,
PER1,"PER, RIGUI, HPER"
RING1,"RING1A, RNF1"
INO80B,"IES2, HMGA1L4, PAP-1BP, HMGIYL4, HIES2, PAPA-1, ZNHIT4"
GATAD2B,"P66BETA, MRD18"
PCGF2,"ZNF144, RNF110, MEL-18"
